stock,type,strike,exp,contractsymbol,lastprice,change,pct_chg,volume,openinterest,vol_chg,oi_chg,voi
$AMAT,🟢C,$210.0,05/10/24,AMAT240510C00210000,0.79,0.35000002,64.58,4503,4223,4233.0,-15.0,1.0
$XLRE,🔴P,$40.0,05/17/24,XLRE240517P00040000,2.85,0.0,0.0,4390,3315,0.0,0.0,1.0
$DJT,🔴P,$53.0,05/10/24,DJT240510P00053000,0.5,-0.58000004,-56.9,4156,998,3263.0,342.0,4.0
$CLSK,🟢C,$18.0,05/17/24,CLSK240517C00018000,0.33,-0.29999998,-45.0,4060,5209,2405.0,263.0,0.0
$QS,🔴P,$5.0,01/17/25,QS250117P00005000,0.94,0.029999971,3.3,4000,20930,3995.0,0.0,0.0
$AFRM,🔴P,$50.0,05/17/24,AFRM240517P00050000,20.1,0.0,0.0,3903,30,0.0,-36.0,130.0
$COIN,🔴P,$200.0,05/10/24,COIN240510P00200000,0.36,-0.049999982,-16.28,3866,2994,1112.0,304.0,1.0
$SBUX,🔴P,$75.0,05/17/24,SBUX240517P00075000,0.71,-0.20000005,-36.04,3786,3188,2491.0,470.0,1.0
$XRT,🟢C,$65.0,06/21/24,XRT240621C00065000,12.05,0.0,0.0,3714,3485,0.0,0.0,1.0
$NFLX,🔴P,$605.0,05/10/24,NFLX240510P00605000,0.5,-0.65,-41.18,3480,1007,1241.0,46.0,3.0
$BA,🔴P,$180.0,05/10/24,BA240510P00180000,1.0,0.3,100.0,3460,2644,149.0,721.0,1.0
$AVGO,🟢C,$1350.0,05/10/24,AVGO240510C01350000,0.4,-0.4,-62.96,3448,1194,513.0,531.0,2.0
$RTX,🟢C,$105.0,06/21/24,RTX240621C00105000,2.55,0.20000005,15.91,3206,9141,2088.0,288.0,0.0
$LCID,🔴P,$3.0,05/17/24,LCID240517P00003000,0.41,0.030000001,17.14,3161,70712,3075.0,12.0,0.0
$JETS,🔴P,$20.0,06/21/24,JETS240621P00020000,0.4,-0.00999999,-2.44,3047,22616,2854.0,0.0,0.0
$PANW,🔴P,$140.0,09/19/25,PANW250919P00140000,4.0,0.0,0.0,3000,7293,0.0,0.0,0.0
$XLY,🔴P,$163.0,09/20/24,XLY240920P00163000,3.2,0.0,0.0,3000,3007,0.0,0.0,0.0
$XLE,🔴P,$93.0,05/17/24,XLE240517P00093000,0.44,0.07999998,25.71,2938,3794,2618.0,129.0,0.0
$PFE,🟢C,$28.0,05/17/24,PFE240517C00028000,0.33,-0.13999999,-23.26,2756,34462,-8911.0,2646.0,0.0
$PYPL,🟢C,$64.0,05/17/24,PYPL240517C00064000,0.72,-0.67999995,-47.45,2655,3103,817.0,497.0,0.0
$SNOW,🔴P,$200.0,05/17/24,SNOW240517P00200000,44.3,0.0,0.0,2612,1151,0.0,0.0,2.0
$CTRA,🔴P,$25.0,01/17/25,CTRA250117P00025000,0.89,0.0,0.0,2603,6865,0.0,2596.0,0.0
$V,🟢C,$277.5,05/10/24,V240510C00277500,2.77,1.22,163.81,2603,3096,2187.0,98.0,0.0
$SMH,🔴P,$225.0,05/10/24,SMH240510P00225000,1.94,-3.3600001,-63.4,2598,307,2451.0,-5.0,8.0
$AA,🟢C,$40.0,06/21/24,AA240621C00040000,1.17,-0.08000004,-13.33,2515,11057,-2193.0,2389.0,0.0
$KRE,🔴P,$52.0,05/10/24,KRE240510P00052000,1.78,-0.09000003,-8.25,2513,2502,1913.0,2.0,1.0
$XLP,🔴P,$71.0,12/20/24,XLP241220P00071000,1.67,0.0,0.0,2500,2507,0.0,0.0,0.0
$X,🔴P,$52.5,10/18/24,X241018P00052500,4.5,0.0,0.0,2406,2143,0.0,0.0,1.0
$RDDT,🟢C,$65.0,07/19/24,RDDT240719C00065000,2.79,1.17,87.25,2363,263,2331.0,21.0,8.0
$ABNB,🟢C,$146.0,05/10/24,ABNB240510C00146000,0.23,-1.71,-91.7,2319,310,1890.0,224.0,7.0
$OXY,🔴P,$70.0,05/17/24,OXY240517P00070000,6.3,0.0,0.0,2294,565,0.0,-1.0,4.0
$XLI,🔴P,$122.0,06/21/24,XLI240621P00122000,0.7,-0.06999999,-10.26,2237,4399,2165.0,36.0,0.0
$ROKU,🔴P,$100.0,06/21/24,ROKU240621P00100000,39.9,0.0,-2.78,2230,434,400.0,0.0,5.0
$ABBV,🟢C,$115.0,05/17/24,ABBV240517C00115000,53.38,0.0,0.0,2185,0,0.0,0.0,
$KO,🟢C,$64.0,06/07/24,KO240607C00064000,0.48,0.119999975,37.14,2182,5657,1760.0,69.0,0.0
$UPS,🟢C,$135.0,05/17/24,UPS240517C00135000,14.55,0.0,15.94,2170,9,1210.0,-344.0,241.0
$CVX,🔴P,$162.5,05/17/24,CVX240517P00162500,0.92,-0.099999964,-25.81,2062,3391,1822.0,111.0,0.0
$OPEN,🟢C,$2.0,01/17/25,OPEN250117C00002000,0.79,-0.060000002,-7.06,2001,8433,1966.0,0.0,0.0
$QCOM,🔴P,$115.0,03/21/25,QCOM250321P00115000,3.08,0.0,0.0,2000,2534,0.0,0.0,0.0
$XME,🔴P,$42.0,01/17/25,XME250117P00042000,0.65,0.0,0.0,2000,10045,0.0,0.0,0.0
$VALE,🔴P,$11.0,01/17/25,VALE250117P00011000,0.64,0.07999998,14.29,1980,243,1965.0,0.0,8.0
$XLV,🔴P,$130.0,01/17/25,XLV250117P00130000,2.08,0.0,0.0,1950,4142,0.0,0.0,0.0
$ENPH,🔴P,$107.0,05/17/24,ENPH240517P00107000,2.52,0.68999994,52.73,1921,2376,763.0,-742.0,0.0
$EBAY,🔴P,$50.0,05/31/24,EBAY240531P00050000,0.58,-0.34000003,-40.21,1815,3687,-890.0,1601.0,0.0
$MDB,🔴P,$270.0,06/07/24,MDB240607P00270000,2.72,0.0,0.0,1800,1800,0.0,0.0,1.0
$TGT,🟢C,$170.0,05/24/24,TGT240524C00170000,3.05,-0.9000001,-21.79,1703,1665,150.0,1407.0,1.0
$ITB,🟢C,$75.0,07/19/24,ITB240719C00075000,32.65,0.0,0.0,1687,1696,0.0,0.0,0.0
$HD,🔴P,$347.5,05/10/24,HD240510P00347500,1.71,0.13999999,-8.06,1626,69,1594.0,68.0,23.0
$CLX,🟢C,$141.0,05/17/24,CLX240517C00141000,2.75,0.85,47.85,1621,2072,1071.0,-162.0,0.0
$LI,🟢C,$27.0,05/17/24,LI240517C00027000,0.55,-0.45,-40.22,1602,2406,1554.0,13.0,0.0
$UVXY,🟢C,$30.0,06/21/24,UVXY240621C00030000,2.41,-0.12999988,-8.02,1570,2775,1077.0,323.0,0.0
$CSCO,🔴P,$60.0,01/17/25,CSCO250117P00060000,12.7,0.0,0.0,1500,2102,0.0,0.0,0.0
$TBT,🔴P,$25.0,01/17/25,TBT250117P00025000,0.27,0.0,0.0,1500,1678,0.0,0.0,0.0
$CRWD,🟢C,$325.0,05/10/24,CRWD240510C00325000,0.28,-0.19,-52.54,1468,860,1024.0,73.0,1.0
$MMM,🔴P,$140.0,01/17/25,MMM250117P00140000,48.67,0.0,0.0,1400,0,0.0,0.0,
$WBA,🟢C,$17.0,05/10/24,WBA240510C00017000,0.28,-0.030000001,-9.68,1357,2479,653.0,437.0,0.0
$MPW,🟢C,$4.5,05/10/24,MPW240510C00004500,0.24,-0.040000007,9.09,1346,6389,-1357.0,420.0,0.0
$DBX,🔴P,$24.0,10/18/24,DBX241018P00024000,1.67,-0.42999995,-20.48,1325,332,1323.0,0.0,3.0
$ARDX,🟢C,$3.5,01/17/25,ARDX250117C00003500,5.2,0.0,0.0,1300,1378,0.0,0.0,0.0
$GE,🟢C,$170.0,06/21/24,GE240621C00170000,3.15,-1.4499998,-33.68,1283,35180,931.0,37.0,0.0
$EXPE,🔴P,$135.0,06/21/24,EXPE240621P00135000,22.73,0.0,0.0,1264,262,0.0,0.0,4.0
$RUN,🟢C,$25.0,11/15/24,RUN241115C00025000,0.6,0.0,-1.64,1220,1709,194.0,1164.0,0.0
$XLK,🟢C,$200.0,06/20/25,XLK250620C00200000,26.0,0.0,-1.14,1150,7946,1130.0,0.0,0.0
$PEP,🔴P,$175.0,06/21/24,PEP240621P00175000,1.5,-0.6700001,-30.88,1140,2260,1024.0,85.0,0.0
$SPOT,🔴P,$290.0,07/19/24,SPOT240719P00290000,12.8,1.8500004,16.89,1094,275,1067.0,26.0,3.0
$XLC,🟢C,$95.0,06/20/25,XLC250620C00095000,2.4,0.0,0.0,1042,1045,0.0,0.0,0.0
$TAN,🟢C,$46.0,06/21/24,TAN240621C00046000,1.2,0.28000003,30.43,1005,49,1002.0,3.0,20.0
